"row_id","movie_name","rating","votes","meta_score","genre0","genre1","genre2","genre3","pr_rating","year","duration","cast0","cast1","cast2","cast3","cast4","director","number_rating","weekly_rank","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10"
506,"1917","8.2","654000","78","Action, Drama, War","Action"," Drama"," War","R",2019,"1h 59m","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","Dean-Charles Chapman"," George MacKay"," Daniel Mays"," Colin Firth","Sam Mendes","4",7,"10840000",NULL,NULL,1
1356,"21 Jump Street","7.2","589000","69","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2012,"1h 49m","Jonah Hill, Channing Tatum, Ice Cube, Brie Larson","Jonah Hill"," Channing Tatum"," Ice Cube"," Brie Larson","Phil LordChristopher Miller","4",6,"11690000",NULL,NULL,1
1698,"6 Underground","6.1","192000","41","Action, Thriller","Action"," Thriller",NULL,"R",2019,"2h 8m","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Ryan Reynolds"," Mélanie Laurent"," Manuel Garcia-Rulfo"," Ben Hardy","Michael Bay","4",5,"8730000",NULL,NULL,3
1698,"6 Underground","6.1","192000","41","Action, Thriller","Action"," Thriller",NULL,"R",2019,"2h 8m","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Ryan Reynolds"," Mélanie Laurent"," Manuel Garcia-Rulfo"," Ben Hardy","Michael Bay","4",7,"7440000",NULL,NULL,2
1698,"6 Underground","6.1","192000","41","Action, Thriller","Action"," Thriller",NULL,"R",2019,"2h 8m","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Ryan Reynolds"," Mélanie Laurent"," Manuel Garcia-Rulfo"," Ben Hardy","Michael Bay","4",9,"7770000",NULL,NULL,1
401,"65","5.4","81000","40","Action, Adventure, Drama","Action"," Adventure"," Drama","PG-13",2023,"1h 33m","Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King","Adam Driver"," Ariana Greenblatt"," Chloe Coleman"," Nika King","Scott BeckBryan Woods","3",2,"10500000","1.55","6800000",1
453,"A Bad Moms Christmas","5.6","57000","42","Comedy","Comedy",NULL,NULL,"R",2017,"1h 44m","Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez","Mila Kunis"," Kristen Bell"," Kathryn Hahn"," Jay Hernandez","Jon LucasScott Moore","4",5,"10890000",NULL,NULL,1
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1h 46m","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",10,"9120000",NULL,NULL,5
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1h 46m","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",10,"7270000",NULL,NULL,4
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1h 46m","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",6,"10750000",NULL,NULL,3
