"row_id","movie_name","rating","votes","meta_score","genre0","genre1","genre2","genre3","pr_rating","year","duration","cast0","cast1","cast2","cast3","cast4","director","number_rating","weekly_rank","weekly_hours_viewed","weekly_views","cumulative_weeks_in_top_10"
506,"1917","8.2","654000","78","Action, Drama, War","Action"," Drama"," War","R",2019,"1.983","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","Dean-Charles Chapman"," George MacKay"," Daniel Mays"," Colin Firth","Sam Mendes","4",7,"10840000",NULL,1
1356,"21 Jump Street","7.2","589000","69","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2012,"1.817","Jonah Hill, Channing Tatum, Ice Cube, Brie Larson","Jonah Hill"," Channing Tatum"," Ice Cube"," Brie Larson","Phil LordChristopher Miller","4",6,"11690000",NULL,1
1698,"6 Underground","6.1","192000","41","Action, Thriller","Action"," Thriller",NULL,"R",2019,"2.133","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Ryan Reynolds"," Mélanie Laurent"," Manuel Garcia-Rulfo"," Ben Hardy","Michael Bay","4",5,"8730000",NULL,3
1698,"6 Underground","6.1","192000","41","Action, Thriller","Action"," Thriller",NULL,"R",2019,"2.133","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Ryan Reynolds"," Mélanie Laurent"," Manuel Garcia-Rulfo"," Ben Hardy","Michael Bay","4",7,"7440000",NULL,2
1698,"6 Underground","6.1","192000","41","Action, Thriller","Action"," Thriller",NULL,"R",2019,"2.133","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy","Ryan Reynolds"," Mélanie Laurent"," Manuel Garcia-Rulfo"," Ben Hardy","Michael Bay","4",9,"7770000",NULL,1
401,"65","5.4","81000","40","Action, Adventure, Drama","Action"," Adventure"," Drama","PG-13",2023,"1.550","Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King","Adam Driver"," Ariana Greenblatt"," Chloe Coleman"," Nika King","Scott BeckBryan Woods","3",2,"10500000","6800000",1
453,"A Bad Moms Christmas","5.6","57000","42","Comedy","Comedy",NULL,NULL,"R",2017,"1.733","Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez","Mila Kunis"," Kristen Bell"," Kathryn Hahn"," Jay Hernandez","Jon LucasScott Moore","4",5,"10890000",NULL,1
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1.767","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",10,"9120000",NULL,5
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1.767","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",10,"7270000",NULL,4
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1.767","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",6,"10750000",NULL,3
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1.767","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",5,"19360000",NULL,2
265,"A Boy Called Christmas","6.7","26000","61","Adventure, Drama, Family","Adventure"," Drama"," Family","PG",2021,"1.767","Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence","Maggie Smith"," Isabella O'Sullivan"," Joel Fry"," Eden Lawrence","Gil Kenan","2",3,"26820000",NULL,1
327,"A Man Called Otto","7.5","144000","51","Comedy, Drama","Comedy"," Drama",NULL,"PG-13",2022,"2.100","Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins","Tom Hanks"," Mariana Treviño"," Rachel Keller"," John Higgins","Marc Forster","3",10,"5350000",NULL,4
327,"A Man Called Otto","7.5","144000","51","Comedy, Drama","Comedy"," Drama",NULL,"PG-13",2022,"2.100","Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins","Tom Hanks"," Mariana Treviño"," Rachel Keller"," John Higgins","Marc Forster","3",4,"10640000",NULL,3
327,"A Man Called Otto","7.5","144000","51","Comedy, Drama","Comedy"," Drama",NULL,"PG-13",2022,"2.100","Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins","Tom Hanks"," Mariana Treviño"," Rachel Keller"," John Higgins","Marc Forster","3",2,"19880000",NULL,2
327,"A Man Called Otto","7.5","144000","51","Comedy, Drama","Comedy"," Drama",NULL,"PG-13",2022,"2.100","Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins","Tom Hanks"," Mariana Treviño"," Rachel Keller"," John Higgins","Marc Forster","3",1,"13480000",NULL,1
1373,"A Quiet Place Part II","7.2","264000","71","Drama, Horror, Sci-Fi","Drama"," Horror"," Sci-Fi","PG-13",2020,"1.617","Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski","Emily Blunt"," Millicent Simmonds"," Cillian Murphy"," John Krasinski","John Krasinski","3",9,"5750000",NULL,2
1373,"A Quiet Place Part II","7.2","264000","71","Drama, Horror, Sci-Fi","Drama"," Horror"," Sci-Fi","PG-13",2020,"1.617","Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski","Emily Blunt"," Millicent Simmonds"," Cillian Murphy"," John Krasinski","John Krasinski","3",8,"4760000",NULL,1
1949,"American Made","7.1","203000","65","Action, Comedy, Crime","Action"," Comedy"," Crime","R",2017,"1.917","Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons","Tom Cruise"," Domhnall Gleeson"," Sarah Wright"," Jesse Plemons","Doug Liman","4",4,"9300000","4900000",1
