week,category,weekly_rank,Movie Name,season_title,weekly_hours_viewed,Duration,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2023-12-17,Films (English),1,Leave the World Behind,,106200000,2.3667,44900000.0,2,False,
2023-12-17,Films (English),2,Chicken Run: Dawn of the Nugget,,20300000,1.7,11900000.0,1,False,
2023-12-17,Films (English),3,Leo,,16800000,1.7833,9400000.0,4,False,
2023-12-17,Films (English),4,Family Switch,,16600000,1.7667,9400000.0,3,False,
2023-12-17,Films (English),5,The Super Mario Bros. Movie,,13700000,1.5333,8900000.0,3,False,
2023-12-17,Films (English),6,Underwater,,9200000,1.5833,5800000.0,1,False,
2023-12-17,Films (English),7,Old,,10000000,1.8,5600000.0,1,False,
2023-12-17,Films (English),8,Christmas as Usual,,7100000,1.4833,4800000.0,2,False,
2023-12-17,Films (English),9,Dr. Seuss' The Grinch,,5700000,1.4333,4000000.0,5,False,
2023-12-17,Films (English),10,Holiday in the Vineyards,,6900000,1.7833,3900000.0,1,False,
2023-12-10,Films (English),1,Leave the World Behind,,98700000,2.3667,41700000.0,1,False,
2023-12-10,Films (English),2,Family Switch,,32900000,1.7667,18600000.0,2,False,
2023-12-10,Films (English),3,Leo,,25400000,1.7833,14200000.0,3,False,
2023-12-10,Films (English),4,The Super Mario Bros. Movie,,20300000,1.5333,13200000.0,2,False,
2023-12-10,Films (English),5,Catering Christmas,,12500000,1.4333,8700000.0,2,False,
2023-12-10,Films (English),6,Nobody,,10600000,1.5333,6900000.0,1,False,
2023-12-10,Films (English),7,Christmas as Usual,,10000000,1.4833,6700000.0,1,False,
2023-12-10,Films (English),8,The Fast and the Furious,,11200000,1.7667,6300000.0,1,False,
2023-12-10,Films (English),9,The Fate of the Furious,,13700000,2.2667,6000000.0,1,False,
2023-12-10,Films (English),10,B&B Merry,,6300000,1.3667,4600000.0,1,False,
2023-12-03,Films (English),1,Leo,,42100000,1.7833,23600000.0,2,False,
2023-12-03,Films (English),2,Family Switch,,39200000,1.7667,22200000.0,1,False,
2023-12-03,Films (English),3,Best. Christmas. Ever!,,9600000,1.3667,7000000.0,3,False,
2023-12-03,Films (English),4,Catering Christmas,,6600000,1.4333,4600000.0,1,False,
2023-12-03,Films (English),5,Sonic the Hedgehog 2,,8200000,2.0667,4000000.0,1,False,
2023-12-03,Films (English),6,The Silencing,,5800000,1.5667,3700000.0,1,False,
2023-12-03,Films (English),7,The Killer,,7100000,2.0,3600000.0,4,False,
2023-12-03,Films (English),8,Dr. Seuss' The Grinch,,4900000,1.4333,3400000.0,4,False,
2023-12-03,Films (English),9,The Super Mario Bros. Movie,,4800000,1.5333,3100000.0,1,False,
2023-12-03,Films (English),10,The Christmas Chronicles,,5300000,1.75,3000000.0,7,False,
2023-11-26,Films (English),1,Leo,,61700000,1.7833,34600000.0,1,False,
2023-11-26,Films (English),2,Best. Christmas. Ever!,,18200000,1.3667,13300000.0,2,False,
2023-11-26,Films (English),3,The Killer,,17500000,2.0,8800000.0,3,False,
2023-11-26,Films (English),4,See You on Venus,,11300000,1.5833,7100000.0,2,False,
2023-11-26,Films (English),5,Jules,,6700000,1.45,4600000.0,1,False,
2023-11-26,Films (English),6,Triple Frontier,,7500000,2.1,3600000.0,1,False,
